"region","ID","grupo","total"
"América Latina y el Caribe",0,"gris",2
"África Subsahariana",1,"gris",2
"Asia del Este y el Pacífico",2,"gris",4
"Europa y Asia Central",3,"gris",14
"Medio Oriente y África del Norte",4,"gris",9
"América del Norte",5,"gris",26
"Asia del Sur",6,"gris",29
"América del Norte'",7,"gris",11
"Asia del Sur'",8,"gris",7
"América Latina y el Caribe'",9,"gris",3
"África Subsahariana'",10,"gris",7
"Medio Oriente y África del Norte'",11,"gris",10
"Europa y Asia Central'",12,"gris",20
"Asia del Este y el Pacífico'",13,"gris",29
